33,Data/Train/33/00033_00000_00000.png
33,Data/Train/33/00033_00000_00001.png
33,Data/Train/33/00033_00000_00002.png
33,Data/Train/33/00033_00000_00003.png
33,Data/Train/33/00033_00000_00004.png
33,Data/Train/33/00033_00000_00005.png
33,Data/Train/33/00033_00000_00006.png
33,Data/Train/33/00033_00000_00007.png
33,Data/Train/33/00033_00000_00008.png
33,Data/Train/33/00033_00000_00009.png
33,Data/Train/33/00033_00000_00010.png
33,Data/Train/33/00033_00000_00011.png
33,Data/Train/33/00033_00000_00012.png
33,Data/Train/33/00033_00000_00013.png
33,Data/Train/33/00033_00000_00014.png
33,Data/Train/33/00033_00000_00015.png
33,Data/Train/33/00033_00000_00016.png
33,Data/Train/33/00033_00000_00017.png
33,Data/Train/33/00033_00000_00018.png
33,Data/Train/33/00033_00000_00019.png
33,Data/Train/33/00033_00000_00020.png
33,Data/Train/33/00033_00000_00021.png
33,Data/Train/33/00033_00000_00022.png
33,Data/Train/33/00033_00000_00023.png
33,Data/Train/33/00033_00000_00024.png
33,Data/Train/33/00033_00000_00025.png
33,Data/Train/33/00033_00000_00026.png
33,Data/Train/33/00033_00000_00027.png
33,Data/Train/33/00033_00000_00028.png
33,Data/Train/33/00033_00000_00029.png
33,Data/Train/33/00033_00001_00000.png
33,Data/Train/33/00033_00001_00001.png
33,Data/Train/33/00033_00001_00002.png
33,Data/Train/33/00033_00001_00003.png
33,Data/Train/33/00033_00001_00004.png
33,Data/Train/33/00033_00001_00005.png
33,Data/Train/33/00033_00001_00006.png
33,Data/Train/33/00033_00001_00007.png
33,Data/Train/33/00033_00001_00008.png
33,Data/Train/33/00033_00001_00009.png
33,Data/Train/33/00033_00001_00010.png
33,Data/Train/33/00033_00001_00011.png
33,Data/Train/33/00033_00001_00012.png
33,Data/Train/33/00033_00001_00013.png
33,Data/Train/33/00033_00001_00014.png
33,Data/Train/33/00033_00001_00015.png
33,Data/Train/33/00033_00001_00016.png
33,Data/Train/33/00033_00001_00017.png
33,Data/Train/33/00033_00001_00018.png
33,Data/Train/33/00033_00001_00019.png
33,Data/Train/33/00033_00001_00020.png
33,Data/Train/33/00033_00001_00021.png
33,Data/Train/33/00033_00001_00022.png
33,Data/Train/33/00033_00001_00023.png
33,Data/Train/33/00033_00001_00024.png
